epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,901.554,0.68301,0.35966,0.80914,0.99311,0.95348,0.98314,0.8233,0.67865,0.34816,0.81037,0.0006932,0.0006932,0.0006932
68,910.55,0.66597,0.35608,0.80675,0.98827,0.9556,0.98234,0.81516,0.70002,0.35847,0.81141,0.0006734,0.0006734,0.0006734
69,919.37,0.6722,0.36032,0.81109,0.9907,0.95608,0.98233,0.82483,0.67777,0.35608,0.80951,0.0006536,0.0006536,0.0006536
70,929.459,0.67882,0.35814,0.81119,0.99019,0.95409,0.98216,0.82887,0.65455,0.34534,0.81106,0.0006338,0.0006338,0.0006338
71,938.347,0.6822,0.35875,0.80959,0.99019,0.95441,0.98196,0.81064,0.70549,0.3595,0.81099,0.000614,0.000614,0.000614
72,947.193,0.66011,0.351,0.80756,0.98967,0.95092,0.98152,0.81335,0.67985,0.35398,0.81282,0.0005942,0.0005942,0.0005942
73,956.088,0.6773,0.35253,0.80678,0.9916,0.94886,0.98237,0.81998,0.69034,0.35032,0.80992,0.0005744,0.0005744,0.0005744
74,965.02,0.67083,0.35449,0.81133,0.99176,0.95132,0.98301,0.81884,0.68343,0.35343,0.81135,0.0005546,0.0005546,0.0005546
75,974.006,0.66987,0.35075,0.80879,0.99165,0.95395,0.98294,0.82333,0.66,0.34854,0.81088,0.0005348,0.0005348,0.0005348
76,982.772,0.66683,0.35229,0.81037,0.9822,0.9647,0.98322,0.828,0.69213,0.35317,0.80741,0.000515,0.000515,0.000515
77,991.628,0.66488,0.34957,0.80886,0.99016,0.95558,0.9826,0.8283,0.65374,0.346,0.81091,0.0004952,0.0004952,0.0004952
78,1000.48,0.67876,0.35313,0.80915,0.99245,0.95699,0.98248,0.82481,0.69993,0.36031,0.81024,0.0004754,0.0004754,0.0004754
79,1009.46,0.67831,0.35398,0.80771,0.99119,0.95661,0.98268,0.82811,0.66291,0.3459,0.81081,0.0004556,0.0004556,0.0004556
80,1018.62,0.65807,0.34824,0.80884,0.98812,0.95699,0.98235,0.82162,0.66901,0.34517,0.81075,0.0004358,0.0004358,0.0004358
81,1027.74,0.64924,0.34608,0.80537,0.98265,0.96339,0.98229,0.83218,0.63224,0.3328,0.8086,0.000416,0.000416,0.000416
82,1036.96,0.64202,0.34347,0.80706,0.99264,0.95463,0.98239,0.82512,0.66944,0.34402,0.80927,0.0003962,0.0003962,0.0003962
83,1046.08,0.63162,0.34133,0.80834,0.99134,0.95321,0.98258,0.83031,0.64496,0.33433,0.80777,0.0003764,0.0003764,0.0003764
84,1055.11,0.6196,0.33641,0.80518,0.99213,0.95357,0.98293,0.83239,0.64841,0.33741,0.80874,0.0003566,0.0003566,0.0003566
85,1064.09,0.60811,0.33524,0.80615,0.98495,0.95888,0.983,0.83042,0.64025,0.33983,0.80808,0.0003368,0.0003368,0.0003368
86,1073.41,0.61924,0.33536,0.80759,0.99148,0.95416,0.98312,0.83638,0.63422,0.33418,0.80862,0.000317,0.000317,0.000317
87,1082.49,0.61639,0.33294,0.80538,0.98675,0.96314,0.98243,0.83262,0.65139,0.34031,0.80889,0.0002972,0.0002972,0.0002972
88,1092.64,0.62118,0.33736,0.8082,0.9851,0.9603,0.98225,0.83428,0.63442,0.3369,0.80966,0.0002774,0.0002774,0.0002774
89,1101.83,0.61379,0.33345,0.80861,0.98737,0.96077,0.9826,0.8432,0.62481,0.33479,0.80663,0.0002576,0.0002576,0.0002576
90,1111.03,0.60058,0.3294,0.80481,0.9912,0.95853,0.98249,0.83893,0.62598,0.33434,0.8062,0.0002378,0.0002378,0.0002378
91,1141.73,0.59558,0.32801,0.80602,0.98929,0.96029,0.98251,0.84143,0.61655,0.33317,0.80653,0.000218,0.000218,0.000218
92,1150.26,0.58167,0.31973,0.80644,0.98827,0.95794,0.98239,0.83528,0.63769,0.33692,0.80861,0.0001982,0.0001982,0.0001982
93,1158.82,0.5974,0.328,0.8076,0.98867,0.95936,0.98289,0.8359,0.62385,0.32922,0.80815,0.0001784,0.0001784,0.0001784
94,1167.31,0.58222,0.32028,0.80766,0.98754,0.96219,0.9834,0.8383,0.62887,0.3303,0.80633,0.0001586,0.0001586,0.0001586
95,1175.77,0.57355,0.31623,0.80328,0.99433,0.95369,0.98316,0.83848,0.63613,0.33277,0.80685,0.0001388,0.0001388,0.0001388
96,1184.16,0.57214,0.31501,0.80733,0.99346,0.95463,0.98326,0.84025,0.62289,0.32932,0.80651,0.000119,0.000119,0.000119
97,1192.55,0.58005,0.31905,0.80732,0.98265,0.9636,0.98321,0.84002,0.62862,0.32894,0.80627,9.92e-05,9.92e-05,9.92e-05
98,1200.91,0.58037,0.31972,0.80572,0.9866,0.96219,0.98322,0.84083,0.61874,0.32568,0.80654,7.94e-05,7.94e-05,7.94e-05
99,1209.36,0.57025,0.31422,0.80619,0.98408,0.96405,0.9833,0.84287,0.61707,0.32402,0.80716,5.96e-05,5.96e-05,5.96e-05
100,1217.78,0.57491,0.31458,0.8063,0.98555,0.96361,0.98329,0.84279,0.61996,0.32431,0.80687,3.98e-05,3.98e-05,3.98e-05
